areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
overview,United Kingdom,K02000001,2022-02-04,83,183502
overview,United Kingdom,K02000001,2022-02-03,119,183419
overview,United Kingdom,K02000001,2022-02-02,131,183300
overview,United Kingdom,K02000001,2022-02-01,169,183169
overview,United Kingdom,K02000001,2022-01-31,175,183000
overview,United Kingdom,K02000001,2022-01-30,179,182825
overview,United Kingdom,K02000001,2022-01-29,166,182646
overview,United Kingdom,K02000001,2022-01-28,188,182480
overview,United Kingdom,K02000001,2022-01-27,197,182292
overview,United Kingdom,K02000001,2022-01-26,184,182095
overview,United Kingdom,K02000001,2022-01-25,178,181911
overview,United Kingdom,K02000001,2022-01-24,212,181733
overview,United Kingdom,K02000001,2022-01-23,205,181521
overview,United Kingdom,K02000001,2022-01-22,208,181316
overview,United Kingdom,K02000001,2022-01-21,235,181108
overview,United Kingdom,K02000001,2022-01-20,192,180873
overview,United Kingdom,K02000001,2022-01-19,208,180681
overview,United Kingdom,K02000001,2022-01-18,218,180473
overview,United Kingdom,K02000001,2022-01-17,223,180255
overview,United Kingdom,K02000001,2022-01-16,242,180032
overview,United Kingdom,K02000001,2022-01-15,243,179790
overview,United Kingdom,K02000001,2022-01-14,224,179547
overview,United Kingdom,K02000001,2022-01-13,231,179323
overview,United Kingdom,K02000001,2022-01-12,226,179092
overview,United Kingdom,K02000001,2022-01-11,223,178866
overview,United Kingdom,K02000001,2022-01-10,230,178643
overview,United Kingdom,K02000001,2022-01-09,231,178413
overview,United Kingdom,K02000001,2022-01-08,206,178182
overview,United Kingdom,K02000001,2022-01-07,216,177976
overview,United Kingdom,K02000001,2022-01-06,206,177760
overview,United Kingdom,K02000001,2022-01-05,165,177554
overview,United Kingdom,K02000001,2022-01-04,194,177389
overview,United Kingdom,K02000001,2022-01-03,170,177195
overview,United Kingdom,K02000001,2022-01-02,162,177025
overview,United Kingdom,K02000001,2022-01-01,164,176863
overview,United Kingdom,K02000001,2021-12-31,144,176699
overview,United Kingdom,K02000001,2021-12-30,168,176555
overview,United Kingdom,K02000001,2021-12-29,122,176387
overview,United Kingdom,K02000001,2021-12-28,151,176265
overview,United Kingdom,K02000001,2021-12-27,126,176114
overview,United Kingdom,K02000001,2021-12-26,113,175988
overview,United Kingdom,K02000001,2021-12-25,107,175875
overview,United Kingdom,K02000001,2021-12-24,114,175768
overview,United Kingdom,K02000001,2021-12-23,130,175654
overview,United Kingdom,K02000001,2021-12-22,129,175524
overview,United Kingdom,K02000001,2021-12-21,104,175395
overview,United Kingdom,K02000001,2021-12-20,128,175291
overview,United Kingdom,K02000001,2021-12-19,110,175163
overview,United Kingdom,K02000001,2021-12-18,106,175053
overview,United Kingdom,K02000001,2021-12-17,123,174947
overview,United Kingdom,K02000001,2021-12-16,111,174824
overview,United Kingdom,K02000001,2021-12-15,114,174713
overview,United Kingdom,K02000001,2021-12-14,149,174599
overview,United Kingdom,K02000001,2021-12-13,105,174450
overview,United Kingdom,K02000001,2021-12-12,130,174345
overview,United Kingdom,K02000001,2021-12-11,105,174215
overview,United Kingdom,K02000001,2021-12-10,118,174110
overview,United Kingdom,K02000001,2021-12-09,126,173992
overview,United Kingdom,K02000001,2021-12-08,125,173866
overview,United Kingdom,K02000001,2021-12-07,126,173741
overview,United Kingdom,K02000001,2021-12-06,141,173615
overview,United Kingdom,K02000001,2021-12-05,115,173474
overview,United Kingdom,K02000001,2021-12-04,158,173359
overview,United Kingdom,K02000001,2021-12-03,142,173201
overview,United Kingdom,K02000001,2021-12-02,121,173059
overview,United Kingdom,K02000001,2021-12-01,136,172938
overview,United Kingdom,K02000001,2021-11-30,117,172802
overview,United Kingdom,K02000001,2021-11-29,142,172685
overview,United Kingdom,K02000001,2021-11-28,138,172543
overview,United Kingdom,K02000001,2021-11-27,119,172405
overview,United Kingdom,K02000001,2021-11-26,128,172286
overview,United Kingdom,K02000001,2021-11-25,140,172158
