areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2022-02-14,12304
overview,United Kingdom,K02000001,2022-02-13,12093
overview,United Kingdom,K02000001,2022-02-12,12056
overview,United Kingdom,K02000001,2022-02-11,12414
overview,United Kingdom,K02000001,2022-02-10,12853
overview,United Kingdom,K02000001,2022-02-09,13257
overview,United Kingdom,K02000001,2022-02-08,13698
overview,United Kingdom,K02000001,2022-02-07,13959
overview,United Kingdom,K02000001,2022-02-06,13771
overview,United Kingdom,K02000001,2022-02-05,13880
overview,United Kingdom,K02000001,2022-02-04,14366
overview,United Kingdom,K02000001,2022-02-03,14806
overview,United Kingdom,K02000001,2022-02-02,14999
overview,United Kingdom,K02000001,2022-02-01,15392
overview,United Kingdom,K02000001,2022-01-31,15849
overview,United Kingdom,K02000001,2022-01-30,15494
overview,United Kingdom,K02000001,2022-01-29,15211
overview,United Kingdom,K02000001,2022-01-28,16084
overview,United Kingdom,K02000001,2022-01-27,16313
overview,United Kingdom,K02000001,2022-01-26,16659
overview,United Kingdom,K02000001,2022-01-25,16738
overview,United Kingdom,K02000001,2022-01-24,17323
overview,United Kingdom,K02000001,2022-01-23,17046
overview,United Kingdom,K02000001,2022-01-22,17079
overview,United Kingdom,K02000001,2022-01-21,17716
overview,United Kingdom,K02000001,2022-01-20,18156
overview,United Kingdom,K02000001,2022-01-19,18671
overview,United Kingdom,K02000001,2022-01-18,19169
overview,United Kingdom,K02000001,2022-01-17,19610
overview,United Kingdom,K02000001,2022-01-16,19376
overview,United Kingdom,K02000001,2022-01-15,19253
overview,United Kingdom,K02000001,2022-01-14,19501
overview,United Kingdom,K02000001,2022-01-13,19717
overview,United Kingdom,K02000001,2022-01-12,19883
overview,United Kingdom,K02000001,2022-01-11,19915
overview,United Kingdom,K02000001,2022-01-10,20013
overview,United Kingdom,K02000001,2022-01-09,19208
overview,United Kingdom,K02000001,2022-01-08,18763
overview,United Kingdom,K02000001,2022-01-07,18830
overview,United Kingdom,K02000001,2022-01-06,18648
overview,United Kingdom,K02000001,2022-01-05,18176
overview,United Kingdom,K02000001,2022-01-04,17450
overview,United Kingdom,K02000001,2022-01-03,16459
overview,United Kingdom,K02000001,2022-01-02,15267
overview,United Kingdom,K02000001,2022-01-01,14633
overview,United Kingdom,K02000001,2021-12-31,14303
overview,United Kingdom,K02000001,2021-12-30,13270
overview,United Kingdom,K02000001,2021-12-29,12076
overview,United Kingdom,K02000001,2021-12-28,11029
overview,United Kingdom,K02000001,2021-12-27,9867
overview,United Kingdom,K02000001,2021-12-26,8845
overview,United Kingdom,K02000001,2021-12-25,8427
overview,United Kingdom,K02000001,2021-12-24,8620
overview,United Kingdom,K02000001,2021-12-23,8396
overview,United Kingdom,K02000001,2021-12-22,8361
overview,United Kingdom,K02000001,2021-12-21,8139
overview,United Kingdom,K02000001,2021-12-20,7924
overview,United Kingdom,K02000001,2021-12-19,7681
overview,United Kingdom,K02000001,2021-12-18,7525
overview,United Kingdom,K02000001,2021-12-17,7589
overview,United Kingdom,K02000001,2021-12-16,7712
overview,United Kingdom,K02000001,2021-12-15,7693
overview,United Kingdom,K02000001,2021-12-14,7768
overview,United Kingdom,K02000001,2021-12-13,7770
overview,United Kingdom,K02000001,2021-12-12,7551
overview,United Kingdom,K02000001,2021-12-11,7428
overview,United Kingdom,K02000001,2021-12-10,7463
overview,United Kingdom,K02000001,2021-12-09,7512
overview,United Kingdom,K02000001,2021-12-08,7442
overview,United Kingdom,K02000001,2021-12-07,7424
overview,United Kingdom,K02000001,2021-12-06,7440
overview,United Kingdom,K02000001,2021-12-05,7332
overview,United Kingdom,K02000001,2021-12-04,7229
overview,United Kingdom,K02000001,2021-12-03,7375
overview,United Kingdom,K02000001,2021-12-02,7466
overview,United Kingdom,K02000001,2021-12-01,7394
overview,United Kingdom,K02000001,2021-11-30,7722
overview,United Kingdom,K02000001,2021-11-29,7711
overview,United Kingdom,K02000001,2021-11-28,7480
overview,United Kingdom,K02000001,2021-11-27,7450
overview,United Kingdom,K02000001,2021-11-26,7604
overview,United Kingdom,K02000001,2021-11-25,7703
overview,United Kingdom,K02000001,2021-11-24,7712
overview,United Kingdom,K02000001,2021-11-23,7959
overview,United Kingdom,K02000001,2021-11-22,8173
overview,United Kingdom,K02000001,2021-11-21,8078
overview,United Kingdom,K02000001,2021-11-20,7983
overview,United Kingdom,K02000001,2021-11-19,8103
overview,United Kingdom,K02000001,2021-11-18,8155
overview,United Kingdom,K02000001,2021-11-17,8254
overview,United Kingdom,K02000001,2021-11-16,8503
overview,United Kingdom,K02000001,2021-11-15,8781
overview,United Kingdom,K02000001,2021-11-14,8623
overview,United Kingdom,K02000001,2021-11-13,8536
overview,United Kingdom,K02000001,2021-11-12,8673
overview,United Kingdom,K02000001,2021-11-11,8766
overview,United Kingdom,K02000001,2021-11-10,8919
overview,United Kingdom,K02000001,2021-11-09,8990
overview,United Kingdom,K02000001,2021-11-08,9038
overview,United Kingdom,K02000001,2021-11-07,8887
overview,United Kingdom,K02000001,2021-11-06,8867
overview,United Kingdom,K02000001,2021-11-05,9112
overview,United Kingdom,K02000001,2021-11-04,9312
overview,United Kingdom,K02000001,2021-11-03,9455
overview,United Kingdom,K02000001,2021-11-02,9671
overview,United Kingdom,K02000001,2021-11-01,9689
overview,United Kingdom,K02000001,2021-10-31,9443
overview,United Kingdom,K02000001,2021-10-30,9291
overview,United Kingdom,K02000001,2021-10-29,9239
overview,United Kingdom,K02000001,2021-10-28,9142
